10.52.0.13 - deppi [26/Sep/2017:07:54:21 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/discreteBar.js HTTP/1.1" 200 10462
10.52.0.13 - deppi [26/Sep/2017:07:54:21 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/lib/d3.v2.min.js HTTP/1.1" 200 115812
10.52.0.13 - deppi [26/Sep/2017:07:54:21 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/discreteBarChart.js HTTP/1.1" 200 8600
10.52.0.13 - deppi [26/Sep/2017:07:54:21 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/legend.js HTTP/1.1" 200 6510
10.52.0.13 - deppi [26/Sep/2017:07:54:21 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/scatter.js HTTP/1.1" 200 20898
10.52.0.13 - deppi [26/Sep/2017:07:54:22 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/line.js HTTP/1.1" 200 9428
10.52.0.13 - deppi [26/Sep/2017:07:54:22 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/lineChart.js HTTP/1.1" 200 10318
10.52.0.13 - deppi [26/Sep/2017:07:54:22 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/pie.js HTTP/1.1" 200 11406
10.52.0.13 - deppi [26/Sep/2017:07:54:22 -0300] "GET /dashbuilder/components/bam/displayer/chart/nvd3/src/models/pieChart.js HTTP/1.1" 200 8133
10.52.0.13 - deppi [26/Sep/2017:07:54:22 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/scriptaculous.js HTTP/1.1" 200 2931
10.52.0.13 - deppi [26/Sep/2017:07:54:23 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/effects.js HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:23 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/dragdrop.js HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:23 -0300] "GET /dashbuilder/workspace/pt/central/7844?csrf=24237522 HTTP/1.1" 200 350978
10.52.0.13 - deppi [26/Sep/2017:07:54:23 -0300] "GET /dashbuilder/common/rs/popup.js HTTP/1.1" 200 14707
10.52.0.13 - deppi [26/Sep/2017:07:54:23 -0300] "GET /dashbuilder/skins/Default_Skin/styles/default.css HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:23 -0300] "GET /dashbuilder/envelopes/IFCE_Envelope/styles.css HTTP/1.1" 200 2703
10.52.0.13 - deppi [26/Sep/2017:07:54:23 -0300] "GET /dashbuilder/components/bam/displayer/chart/nv.d3.css HTTP/1.1" 200 10901
10.52.0.13 - deppi [26/Sep/2017:07:54:23 -0300] "GET /dashbuilder/components/modalDialogComponent/css/PopUps.css HTTP/1.1" 200 2032
10.52.0.13 - deppi [26/Sep/2017:07:54:23 -0300] "GET /dashbuilder/templates/css/administration_bar.css HTTP/1.1" 200 1475
10.52.0.13 - deppi [26/Sep/2017:07:54:23 -0300] "GET /dashbuilder/section/css/RenderSection.css HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:23 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/prototype.js HTTP/1.1" 200 215309
10.52.0.13 - deppi [26/Sep/2017:07:54:23 -0300] "GET /dashbuilder/templates/css/panel_properties.css HTTP/1.1" 304 -
10.52.0.13 - deppi [26/Sep/2017:07:54:24 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/builder.js HTTP/1.1" 200 4744
10.52.0.13 - deppi [26/Sep/2017:07:54:24 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/controls.js HTTP/1.1" 200 34787
10.52.0.13 - deppi [26/Sep/2017:07:54:24 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/sound.js HTTP/1.1" 200 2456
10.52.0.13 - deppi [26/Sep/2017:07:54:24 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/slider.js HTTP/1.1" 200 10162
10.52.0.13 - deppi [26/Sep/2017:07:54:24 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/effects.js HTTP/1.1" 200 38471
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/js/lib/scriptaculous-js-1.9.0/dragdrop.js HTTP/1.1" 200 31066
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/ckeditor/ckeditor.js HTTP/1.1" 200 479639
10.52.0.13 - deppi [26/Sep/2017:07:54:25 -0300] "GET /dashbuilder/images/general/16x16/ico-calendar.png HTTP/1.1" 200 1160
