91.236.75.4 - - [14/Sep/2017:00:35:35 -0300] "GET / HTTP/1.1" 200 11418
10.50.13.1 - usuario [14/Sep/2017:11:12:52 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6881&pAction=_refreshPanel&csrf=18089228 HTTP/1.1" 200 3397
10.50.13.1 - usuario [14/Sep/2017:11:12:52 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6871&pAction=_refreshPanel&csrf=18089228 HTTP/1.1" 200 3805
10.50.13.1 - usuario [14/Sep/2017:11:12:52 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6978&pAction=_refreshPanel&csrf=18089228 HTTP/1.1" 200 27640
10.50.13.1 - usuario [14/Sep/2017:11:13:20 -0300] "POST /dashbuilder/Controller?csrf=17910725 HTTP/1.1" 200 36989
10.50.13.1 - usuario [14/Sep/2017:11:13:20 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6881&pAction=_refreshPanel&csrf=17910725 HTTP/1.1" 200 3532
10.50.13.1 - usuario [14/Sep/2017:11:13:20 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6901&pAction=_refreshPanel&csrf=08363975 HTTP/1.1" 200 4666
10.50.13.1 - usuario [14/Sep/2017:11:13:20 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6871&pAction=_refreshPanel&csrf=17910725 HTTP/1.1" 200 3806
10.50.13.1 - usuario [14/Sep/2017:11:13:21 -0300] "POST /dashbuilder/Controller?csrf=24238697 HTTP/1.1" 200 48929
10.50.13.1 - usuario [14/Sep/2017:11:13:21 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6881&pAction=_refreshPanel&csrf=97097237 HTTP/1.1" 200 3533
10.50.13.1 - usuario [14/Sep/2017:11:13:21 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6871&pAction=_refreshPanel&csrf=97097237 HTTP/1.1" 200 3806
10.50.13.1 - usuario [14/Sep/2017:11:13:21 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6901&pAction=_refreshPanel&csrf=97097237 HTTP/1.1" 200 4313
10.50.13.1 - usuario [14/Sep/2017:11:13:22 -0300] "POST /dashbuilder/Controller?csrf=75861186 HTTP/1.1" 200 63650
10.50.13.1 - usuario [14/Sep/2017:11:13:22 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6881&pAction=_refreshPanel&csrf=22047520 HTTP/1.1" 200 3534
10.50.13.1 - usuario [14/Sep/2017:11:13:22 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6871&pAction=_refreshPanel&csrf=22047520 HTTP/1.1" 200 4352
10.50.13.1 - usuario [14/Sep/2017:11:13:22 -0300] "POST /dashbuilder/workspace/pt/central/7844?idPanel=6901&pAction=_refreshPanel&csrf=22047520 HTTP/1.1" 200 4605
91.196.50.33 - - [14/Sep/2017:12:43:04 -0300] "GET /testproxy.php HTTP/1.1" 404 977
139.162.111.98 - - [14/Sep/2017:15:42:33 -0300] "GET / HTTP/1.1" 200 11418
212.47.244.68 - - [14/Sep/2017:22:03:50 -0300] "GET / HTTP/1.1" 200 11418
163.172.168.251 - - [14/Sep/2017:22:26:27 -0300] "GET / HTTP/1.1" 200 11418
